id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fragment_scans
42,0.7755,0.7366,10.3215,335.09441,335.09161,335.09561,1.967E6,1.916E5,1.08E5,1.967E6,1,DETECTED,335.09441,335.09161,335.09561,0.7755,0.7366,10.3215,1.967E6,1.916E5,1.08E5,1.967E6,0.0441,69.6267,5.3304,1
43,0.7755,0.7163,10.0659,365.10495,365.10205,365.10629,6.667E6,6.464E5,1.026E5,6.667E6,1,DETECTED,365.10495,365.10205,365.10629,0.7755,0.7163,10.0659,6.667E6,6.464E5,1.026E5,6.667E6,0.0451,2.5179,0.5164,1
44,0.7755,0.7366,7.5628,406.13294,406.13177,406.13516,5.336E5,5.141E4,1.096E5,5.336E5,0,DETECTED,406.13294,406.13177,406.13516,0.7755,0.7366,7.5628,5.336E5,5.141E4,1.096E5,5.336E5,0.0645,87.6326,174.2651,
45,0.7755,0.7366,11.4617,531.18638,531.18475,531.19489,1.354E6,2.132E6,1.035E5,1.354E6,0,DETECTED,531.18638,531.18475,531.19489,0.7755,0.7366,11.4617,1.354E6,2.132E6,1.035E5,1.354E6,7.9473,68.9699,139.0091,
46,0.7926,0.7755,1.4089,201.12349,201.12338,201.12375,2.285E6,1.204E5,1.048E5,2.285E6,0,DETECTED,201.12349,201.12338,201.12375,0.7926,0.7755,1.4089,2.285E6,1.204E5,1.048E5,2.285E6,0.0298,17.7552,20.8549,
47,0.7926,0.7366,15.2689,206.13885,206.13852,206.14008,1.239E6,2.22E5,1.016E5,1.239E6,1,DETECTED,206.13885,206.13852,206.14008,0.7926,0.7366,15.2689,1.239E6,2.22E5,1.016E5,1.239E6,0.3837,3.3236,8.9749,1
48,0.7926,0.757,1.0824,217.06847,217.06828,217.06885,1.528E7,5.724E5,1.703E5,1.528E7,2,DETECTED,217.06847,217.06828,217.06885,0.7926,0.757,1.0824,1.528E7,5.724E5,1.703E5,1.528E7,0.0173,5.4232,6.9836,2
49,0.7926,0.757,1.5001,245.11348,245.11307,245.11496,1.481E7,1.007E6,1.09E5,1.481E7,3,DETECTED,245.11348,245.11307,245.11496,0.7926,0.757,1.5001,1.481E7,1.007E6,1.09E5,1.481E7,0.2886,0.91,2.3587,3
50,0.7926,0.757,1.0644,247.07902,247.0788,247.07916,1.717E6,1.236E5,1.302E5,1.717E6,0,DETECTED,247.07902,247.0788,247.07916,0.7926,0.757,1.0644,1.717E6,1.236E5,1.302E5,1.717E6,0.0375,4.1092,11.018,
51,0.7926,0.757,12.8678,290.18329,290.18243,290.18497,7.428E5,5.333E5,1.001E5,7.428E5,0,DETECTED,290.18329,290.18243,290.18497,0.7926,0.757,12.8678,7.428E5,5.333E5,1.001E5,7.428E5,11.1102,169.7995,273.7979,
52,0.7926,0.7366,14.3111,326.14563,326.14182,326.1481,1.271E6,4.956E5,1E5,1.271E6,1,DETECTED,326.14563,326.14182,326.1481,0.7926,0.7366,14.3111,1.271E6,4.956E5,1E5,1.271E6,0.2352,21.6341,113.7915,1
53,0.7926,0.757,9.9034,393.09979,393.09659,393.10172,7.74E5,6.264E4,1.009E5,7.74E5,0,DETECTED,393.09979,393.09659,393.10172,0.7926,0.757,9.9034,7.74E5,6.264E4,1.009E5,7.74E5,0.0429,128.2375,243.8974,
54,0.7926,0.7755,10.4324,418.18514,418.18179,418.18655,7.635E6,1.059E6,1.003E5,7.635E6,0,DETECTED,418.18514,418.18179,418.18655,0.7926,0.7755,10.4324,7.635E6,1.059E6,1.003E5,7.635E6,0.0251,181.5349,13.3855,
55,0.7926,0.7755,12.1355,419.18381,419.18167,419.19003,1.5E6,1.221E6,1.003E5,1.5E6,0,DETECTED,419.18381,419.18167,419.19003,0.7926,0.7755,12.1355,1.5E6,1.221E6,1.003E5,1.5E6,5.5337,269.4828,635.7004,
56,0.7926,0.7755,10.9871,453.15509,453.15372,453.15823,6.404E5,6.479E5,1.004E5,6.404E5,0,DETECTED,453.15509,453.15372,453.15823,0.7926,0.7755,10.9871,6.404E5,6.479E5,1.004E5,6.404E5,4.7978,297.7336,592.0227,
57,0.7926,0.7755,0.9827,496.99877,496.99777,496.99933,1.049E6,5.528E4,1.035E5,1.049E6,0,DETECTED,496.99877,496.99777,496.99933,0.7926,0.7755,0.9827,1.049E6,5.528E4,1.035E5,1.049E6,0.093,5.9593,9.6842,
58,0.7926,0.7163,9.5717,527.15777,527.15375,527.16071,3.022E6,1.913E5,1.162E5,3.022E6,0,DETECTED,527.15777,527.15375,527.16071,0.7926,0.7163,9.5717,3.022E6,1.913E5,1.162E5,3.022E6,0.2672,55.1699,132.7363,
59,0.7926,0.7163,9.8217,689.20917,689.2052,689.21204,5.104E5,9.47E4,1.133E5,5.104E5,1,DETECTED,689.20917,689.2052,689.21204,0.7926,0.7163,9.8217,5.104E5,9.47E4,1.133E5,5.104E5,0.0746,59.6289,118.2579,1
60,0.8064,0.7755,8.1461,152.07065,152.07024,152.07092,5.343E5,3.563E5,1.012E5,5.343E5,2,DETECTED,152.07065,152.07024,152.07092,0.8064,0.7755,8.1461,5.343E5,3.563E5,1.012E5,5.343E5,0.2242,119.3067,209.3349,2
61,0.8064,0.7926,9.6226,166.08635,166.08594,166.08659,7.966E5,5.315E5,1.004E5,7.966E5,2,DETECTED,166.08635,166.08594,166.08659,0.8064,0.7926,9.6226,7.966E5,5.315E5,1.004E5,7.966E5,0.2265,321.3117,437.5564,2
62,0.8064,0.757,15.8294,176.12801,176.12617,176.12848,4.582E6,2.224E5,1.017E5,4.582E6,0,DETECTED,176.12801,176.12617,176.12848,0.8064,0.757,15.8294,4.582E6,2.224E5,1.017E5,4.582E6,0.3176,2.7769,0.5893,
63,0.8064,0.7926,15.2689,188.09193,188.09152,188.09291,6.627E5,1.185E5,1.021E5,6.627E5,0,DETECTED,188.09193,188.09152,188.09291,0.8064,0.7926,15.2689,6.627E5,1.185E5,1.021E5,6.627E5,0.025,526.7715,55.6131,
64,0.8064,0.757,15.6683,190.1079,190.10735,190.10876,6.602E5,1.14E5,1.013E5,6.602E5,0,DETECTED,190.1079,190.10735,190.10876,0.8064,0.757,15.6683,6.602E5,1.14E5,1.013E5,6.602E5,0.2347,150.9154,15.7045,
65,0.8064,0.7926,8.3647,190.14394,190.14352,190.14417,1.136E6,1.824E5,1.042E5,1.136E6,2,DETECTED,190.14394,190.14352,190.14417,0.8064,0.7926,8.3647,1.136E6,1.824E5,1.042E5,1.136E6,2.8613,110.9949,2.3129,2
66,0.8064,0.7755,7.3227,200.12822,200.12796,200.12859,6.559E5,1.274E5,1.021E5,6.559E5,0,DETECTED,200.12822,200.12796,200.12859,0.8064,0.7755,7.3227,6.559E5,1.274E5,1.021E5,6.559E5,0.0192,105.978,16.0436,
67,0.8064,0.7926,7.9617,202.1803,202.18002,202.18068,1.49E7,8.432E5,1.062E5,1.49E7,2,DETECTED,202.1803,202.18002,202.18068,0.8064,0.7926,7.9617,1.49E7,8.432E5,1.062E5,1.49E7,0.0245,10.4355,32.0003,2
68,0.8064,0.7926,9.6347,210.11256,210.11195,210.11304,6.626E5,8.925E5,1.011E5,6.626E5,1,DETECTED,210.11256,210.11195,210.11304,0.8064,0.7926,9.6347,6.626E5,8.925E5,1.011E5,6.626E5,6.9452,321.7492,578.219,1
69,0.8064,0.7926,10.8212,244.10527,244.10397,244.10602,5.332E6,5.32E5,1.012E5,5.332E6,1,DETECTED,244.10527,244.10397,244.10602,0.8064,0.7926,10.8212,5.332E6,5.32E5,1.012E5,5.332E6,0.0292,249.8775,17.4908,1
70,0.8064,0.7755,3.9919,245.14983,245.14952,245.15009,8.785E5,8.777E4,1.029E5,8.785E5,0,DETECTED,245.14983,245.14952,245.15009,0.8064,0.7755,3.9919,8.785E5,8.777E4,1.029E5,8.785E5,0.0206,52.0635,102.2827,
71,0.8064,0.7163,6.0367,250.16511,250.16302,250.16634,3.375E7,1.328E6,1.005E5,3.375E7,2,DETECTED,250.16511,250.16302,250.16634,0.8064,0.7163,6.0367,3.375E7,1.328E6,1.005E5,3.375E7,1.8317,1.536,0.1785,2
72,0.8064,0.7926,1.0644,251.16851,251.16833,251.16879,3.748E6,1.288E5,1.489E5,3.748E6,0,DETECTED,251.16851,251.16833,251.16879,0.8064,0.7926,1.0644,3.748E6,1.288E5,1.489E5,3.748E6,0.0243,9.1976,4.1156,
