id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fragment_scans
29,0.7996,0.7769,7.8297,259.14434,259.14368,259.14523,6.499E5,4.548E5,1.004E5,6.499E5,0,DETECTED,259.14434,259.14368,259.14523,0.7996,0.7769,7.8297,6.499E5,4.548E5,1.004E5,6.499E5,5.8073,155.3972,159.5044,
30,0.7996,0.7769,1.1611,260.13268,260.1319,260.1337,9.339E6,4.252E5,1.02E5,9.339E6,0,DETECTED,260.13268,260.1319,260.1337,0.7996,0.7769,1.1611,9.339E6,4.252E5,1.02E5,9.339E6,0.0385,3.4818,30.2558,
31,0.7996,0.7769,6.1239,262.12858,262.12665,262.12909,8.136E5,1.946E5,1.018E5,8.136E5,1,DETECTED,262.12858,262.12665,262.12909,0.7996,0.7769,6.1239,8.136E5,1.946E5,1.018E5,8.136E5,0.2572,117.8129,4.1433,1
32,0.7996,0.6998,4.788,266.16001,266.15802,266.16046,5.949E6,3.037E5,1.048E5,5.949E6,2,DETECTED,266.16001,266.15802,266.16046,0.7996,0.6998,4.788,5.949E6,3.037E5,1.048E5,5.949E6,0.0807,1.2475,2.9095,2
33,0.7996,0.7555,1.4031,275.12405,275.12326,275.12442,1.833E7,9.014E5,1.05E5,1.833E7,3,DETECTED,275.12405,275.12326,275.12442,0.7996,0.7555,1.4031,1.833E7,9.014E5,1.05E5,1.833E7,0.0267,5.3625,11.6241,3
34,0.7996,0.7769,3.1272,276.12724,276.12524,276.12885,2.018E6,1.648E5,1.037E5,2.018E6,1,DETECTED,276.12724,276.12524,276.12885,0.7996,0.7769,3.1272,2.018E6,1.648E5,1.037E5,2.018E6,0.0379,5.159,1.4544,1
35,0.7996,0.7555,10.0089,280.13893,280.13681,280.14166,2.16E6,2.789E5,1.003E5,2.16E6,2,DETECTED,280.13893,280.13681,280.14166,0.7996,0.7555,10.0089,2.16E6,2.789E5,1.003E5,2.16E6,0.2777,71.8422,5.4783,2
36,0.7996,0.7769,5.6592,285.1448,285.14328,285.14545,5.731E6,5.821E5,1.002E5,5.731E6,2,DETECTED,285.1448,285.14328,285.14545,0.7996,0.7769,5.6592,5.731E6,5.821E5,1.002E5,5.731E6,0.2523,7.3433,5.4133,2
37,0.7996,0.7769,1.4729,289.13956,289.1391,289.14001,1.3E6,1.338E5,1.023E5,1.3E6,1,DETECTED,289.13956,289.1391,289.14001,0.7996,0.7769,1.4729,1.3E6,1.338E5,1.023E5,1.3E6,0.2858,13.7661,28.2354,1
38,0.7996,0.7555,7.187,292.13852,292.13687,292.1402,1.368E6,4.558E5,1E5,1.368E6,0,DETECTED,292.13852,292.13687,292.1402,0.7996,0.7555,7.187,1.368E6,4.558E5,1E5,1.368E6,0.255,93.4825,2.2453,
39,0.7996,0.7555,7.2637,294.15404,294.15195,294.15604,1.148E6,5.061E5,1.002E5,1.148E6,0,DETECTED,294.15404,294.15195,294.15604,0.7996,0.7555,7.2637,1.148E6,5.061E5,1.002E5,1.148E6,3.4322,58.7226,49.7891,
40,0.7996,0.7322,9.4072,296.1351,296.13205,296.13739,2.321E6,4.686E5,1.004E5,2.321E6,4,DETECTED,296.1351,296.13205,296.13739,0.7996,0.7322,9.4072,2.321E6,4.686E5,1.004E5,2.321E6,0.5445,13.1116,120.0391,4
